ID_Espacio_Verde,Nombre,Nombre_Mapa,Tipo_Espacio,Clasificacion_Original,Acceso,Direccion,Barrio,Comuna,Tiene_Patio_Juegos,Superficie_m2,Perimetro_m,Latitud,Longitud,Latitud_Centroide,Longitud_Centroide,Metodo_Coordenada,Flag_Centroide_Fuera_Geometria,Distancia_Centroide_Pin_m,Flag_Geometria_Reparada,Cantidad_Partes_Geometria,Flag_Revision_Manual,Motivo_Revision,Criterio_Inclusion,CRS_Coordenadas,Fuente_Archivo
2132,No informado,No informado,Plaza,PLAZA,No informado,AV CASTAÑARES - AV LUIS DELLEPIANE - SIN NOMBRE OFICIAL (ALT. DELLEPIANE 4990),Villa Lugano,8,NO,747.8263038563462,278.0217553808393,-34.6676854389,-58.4739261963,-34.6675536576,-58.4738756713,Punto representativo interno del componente principal,1,15.33,0,3,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
2133,No informado,No informado,Plaza,PLAZA,No informado,AV LUIS DELLEPIANE - SIN NOMBRE OFICIAL (ALT. DELLEPIANE 4886) - SIN NOMBRE OFICIAL (ALT. DELLEPIANE 4990),Villa Lugano,8,SI,2058.106138677074,571.0709579024418,-34.6667315234,-58.4731988982,-34.6666846691,-58.4733743756,Punto representativo interno del componente principal,1,16.90,0,6,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
2134,No informado,No informado,Plaza,PLAZA,No informado,AV LUIS DELLEPIANE 4730,Villa Lugano,8,NO,1006.5276489193285,250.26077785714682,-34.6651192190,-58.4727949703,-34.6652957494,-58.4728457856,Punto representativo interno del componente principal,1,20.13,0,4,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
2135,No informado,No informado,Plaza,PLAZA,No informado,BARRIO CARDENAL SAMORÉ,Villa Lugano,8,SI,1197.1883680167914,434.7347617638235,-34.6661635723,-58.4725484756,-34.6659484007,-58.4724542236,Punto representativo interno del componente principal,1,25.38,0,5,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
2136,No informado,No informado,Plaza,PLAZA,No informado,AV LUIS DELLEPIANE 4600 y SIN NOMBRE OFICIAL (ALT. CASTAÑARES 4595),Villa Lugano,8,SI,2141.2637494027995,551.9122245790186,-34.6644073530,-58.4723453986,-34.6644073530,-58.4723453986,Centroide geométrico,0,0.00,0,8,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
2137,No informado,No informado,Plaza,PLAZA,No informado,AV ESCALADA 2702 - 2800,Villa Lugano,8,NO,1774.520729863898,427.56005330251304,-34.6636745414,-58.4717757585,-34.6636745414,-58.4717757585,Centroide geométrico,0,0.00,0,5,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
2138,No informado,No informado,Plaza,PLAZA,No informado,AV ESCALADA 2802 - 2900,Villa Lugano,8,NO,1062.4716736589944,277.74837409534655,-34.6645791112,-58.4706583355,-34.6644523463,-58.4707230344,Punto representativo interno del componente principal,1,15.26,0,4,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
2139,No informado,No informado,Plaza,PLAZA,No informado,BARRIO CARDENAL SAMORÉ,Villa Lugano,8,SI,2187.7483661926262,610.620601491581,-34.6651011309,-58.4722620069,-34.6651463808,-58.4716936116,Punto representativo interno del componente principal,1,52.33,0,6,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
2142,No informado,No informado,Plaza,PLAZA,No informado,BARRIO JUAN J. NAGERA: SARAZA y TTE 1° ROBERTO ESTEVEZ,Villa Lugano,8,NO,3771.256895336839,585.4373999013119,-34.6610216590,-58.4692921015,-34.6610216590,-58.4692921015,Centroide geométrico,0,0.00,0,4,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
2145,Parque Barrio Piletones (no oficial),Pque. Bo. Piletones,Parque,PARQUE,No informado,BARRIO PILETONES,Villa Soldati,8,SI,5599.156983712395,1904.7189364840701,-34.6625991394,-58.4550343545,-34.6625991394,-58.4550343545,Centroide geométrico,0,0.00,0,19,1,La fuente indica que la denominación no es oficial,"Parque según clasificación oficial y superficie >= 1,000 m²",EPSG:4326,espacio_verde_publico.csv
2156,Plaza 18 de Diciembre de 2022,Pza. 18 de Diciembre de 2022,Plaza,PLAZA,No informado,CONSTITUCION 3339 entre VIRREY LINIERS y SANCHEZ DE LORIA,Boedo,5,NO,506.848116535055,557.3166764741493,-34.6274049273,-58.4127629676,-34.6274049273,-58.4127629676,Centroide geométrico,0,0.00,0,24,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
2157,Parque de la Innovación (ex Tiro Federal Argentino),Pque. de la Innovación,Parque,PARQUE,No informado,AV GUILLERMO UDAONDO - ERNESTO BAVIO - CAMPOS SALLES - AV LUGONES,Nuñez,13,NO,72607.35965616869,13038.915443087964,-34.5434756367,-58.4503690962,-34.5445751883,-58.4523252067,Punto representativo interno del componente principal,1,217.03,0,169,0,No aplica,"Parque según clasificación oficial y superficie >= 1,000 m²",EPSG:4326,espacio_verde_publico.csv
2161,Parque Costero BA,Pque. Costero BA,Parque,PARQUE,No informado,AV RAFAEL OBLIGADO COSTANERA 6600,Belgrano,13,NO,1408.6096474915114,989.0184861423205,-34.5472053819,-58.4306973035,-34.5472250626,-58.4305671535,Punto representativo interno del componente principal,1,12.14,0,38,0,No aplica,"Parque según clasificación oficial y superficie >= 1,000 m²",EPSG:4326,espacio_verde_publico.csv
2217,Plaza Educativa,Pza. Educativa,Plaza,PLAZA,No informado,QUESADA entre ALTOLAGUIRRE y BURELA,Villa Urquiza,12,NO,214.8830683951504,175.8317852537842,-34.5712464011,-58.4961335540,-34.5712141238,-58.4961975537,Punto representativo interno del componente principal,1,6.88,0,5,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
2221,Plaza San Isidro Labrador,Pza. San Isidro Labrador,Plaza,PLAZA,No informado,AV SAN ISIDRO LABRADOR entre PICO y VEDIA,Saavedra,12,SI,2074.452516836436,558.2963847206327,-34.5406944622,-58.4753618827,-34.5407417185,-58.4755153256,Punto representativo interno del componente principal,1,15.03,0,5,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
2225,Plaza Nodo Libertador,Pza. Nodo Libertador,Plaza,PLAZA,No informado,"AV DEL LIBERTADOR, AV VIRREY VERTIZ y VIRREY DEL PINO: debajo de VIADUCTO FFCC MITRE TIGRE",Belgrano,13,SI,1063.9553351905029,666.8353999643963,-34.5615275942,-58.4432769480,-34.5615275942,-58.4432769480,Centroide geométrico,0,0.00,0,12,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
2231,Parque Ferroviario Colegiales,Pque. Ferroviario Colegiales,Parque,PARQUE,No informado,"AV FEDERICO LACROZE, MOLDES, OLAGUER Y FELIU VIRREY, CRAMER",Colegiales,13,NO,14199.59679262234,2307.445160502105,-34.5705933519,-58.4530594474,-34.5711515947,-58.4512790057,Punto representativo interno del componente principal,1,174.69,0,12,0,No aplica,"Parque según clasificación oficial y superficie >= 1,000 m²",EPSG:4326,espacio_verde_publico.csv
2248,Plaza Fitz Roy,Pza. Fitz Roy,Plaza,PLAZA,No informado,"RAMIREZ DE VELAZCO JUAN, VIADUCTO FFCC SAN MARTIN y VERA",Chacarita,15,NO,189.94523390401207,262.07495512062184,-34.5912343951,-58.4440206806,-34.5912886021,-58.4441694706,Punto representativo interno del componente principal,1,14.91,0,6,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
2306,Plaza Barrio Presidente Roque Sáenz Peña,Pza. Bo. Roque Sáenz Peña,Plaza,PLAZA,No informado,"VALDENEGRO, FLOR DEL AIRE y GALVAN",Saavedra,12,SI,20096.885056923533,4583.191486653916,-34.5577105170,-58.4934254053,-34.5577105170,-58.4934254053,Centroide geométrico,0,0.00,0,55,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
2310,No informado,No informado,Plaza,PLAZA,No informado,BARRIO PRES. MITRE: CORREA y ROMULO NAON,Saavedra,12,SI,3066.26706398849,871.6548214509005,-34.5493984019,-58.4866395587,-34.5493984019,-58.4866395587,Centroide geométrico,0,0.00,0,7,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
2326,Plaza Las Cañitas,Pza. Las Cañitas,Plaza,PLAZA,No informado,"AV DORREGO, HUERGO, CLAY y BAEZ",Palermo,14,SI,4888.661927309909,1211.7750363356633,-34.5736455325,-58.4295598494,-34.5735202469,-58.4297292101,Punto representativo interno del componente principal,1,20.84,0,11,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
2357,Parque Ferroviario Palermo,Pque. Ferroviario Palermo,Parque,PARQUE,No informado,"FFCC SAN MARTIN, SOLER, ATACALCO",Palermo,14,SI,3666.0415041812194,1980.0972172876325,-34.5832428090,-58.4305003720,-34.5832428090,-58.4305003720,Centroide geométrico,0,0.00,0,10,0,No aplica,"Parque según clasificación oficial y superficie >= 1,000 m²",EPSG:4326,espacio_verde_publico.csv
2386,Plaza Villa Santa Rita,Pza. Villa Santa Rita,Plaza,PLAZA,No informado,AV ALVAREZ JONTE 3222 entre CUENCA y GRANVILLE GUILLERMO,Villa Santa Rita,11,SI,1177.7466392553265,358.78250540898773,-34.6104685879,-58.4883301142,-34.6104599469,-58.4882394240,Punto representativo interno del componente principal,1,8.37,0,3,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
2397,Parque Salguero,Pque. Salguero,Parque,PARQUE,No informado,AV SARMIENTO y AV COSTANERA RAFAEL OBLIGADO: COMPLEJO COSTA SALGUERO,Palermo,14,NO,66450.0576615182,6547.052866399063,-34.5684121003,-58.3971472376,-34.5684121003,-58.3971472376,Centroide geométrico,0,0.00,0,45,1,Parque Salguero/Costa Salguero: confirmar acceso y uso,"Parque según clasificación oficial y superficie >= 1,000 m²",EPSG:4326,espacio_verde_publico.csv
2401,Plaza Memoria AMIA,Pza. Memoria AMIA,Plaza,PLAZA,No informado,CIUDAD UNIVERSITARIA: sector este pegado a Parque de la Memoria,Belgrano,13,NO,19586.97714211938,2897.8591171258004,-34.5399923643,-58.4412625352,-34.5403380152,-58.4409171559,Punto representativo interno del componente principal,1,49.74,1,11,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
2402,Reserva Ecológica Ciudad Universitaria Costanera Norte,Reserva Ecológica Cdad Universitaria Costanera Norte,Reserva ecológica,PARQUE SEMIPÚBLICO,Semipúblico según clasificación original,CIUDAD UNIVERSITARIA SECTOR NORTE,Belgrano,13,NO,132531.05415626196,5968.016277745432,-34.5380232330,-58.4441714639,-34.5380232330,-58.4441714639,Centroide geométrico,0,0.00,0,36,1,La fuente clasifica el acceso como semipúblico,Reserva ecológica; acceso semipúblico conservado explícitamente,EPSG:4326,espacio_verde_publico.csv
2403,No informado,No informado,Plaza,PLAZA,No informado,"BARRIO OLIMPICO: 23 DE JUNIO, HUMBERTO SELVETTI, BOULEVARD OLIMPICO ZUBIAUR, DELFO CABRERA",Villa Soldati,8,NO,7482.517465863072,375.37018338698573,-34.6736685295,-58.4556639517,-34.6736685295,-58.4556639517,Centroide geométrico,0,0.00,0,1,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
2404,No informado,No informado,Plaza,PLAZA,No informado,"BARRIO OLIMPICO: AV ESCALADA, HUMBERTO SELVETTI, BOULEVARD OLIMPICO ZUBIAUR, DELFO CABRERA",Villa Soldati,8,NO,8640.799996776163,573.7321760747408,-34.6743964095,-58.4565033481,-34.6743964095,-58.4565033481,Centroide geométrico,0,0.00,0,2,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
2405,No informado,No informado,Plaza,PLAZA,No informado,"BARRIO OLIMPICO: 23 DE JUNIO, HUMBERTO SELVETTI, BOULEVARD OLIMPICO ZUBIAUR, ALBERTO ZORRILLA",Villa Soldati,8,NO,7350.568349800669,326.64602534548885,-34.6743328948,-58.4548190837,-34.6743328948,-58.4548190837,Centroide geométrico,0,0.00,0,1,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
