ID_Espacio_Verde,Nombre,Nombre_Mapa,Tipo_Espacio,Clasificacion_Original,Acceso,Direccion,Barrio,Comuna,Tiene_Patio_Juegos,Superficie_m2,Perimetro_m,Latitud,Longitud,Latitud_Centroide,Longitud_Centroide,Metodo_Coordenada,Flag_Centroide_Fuera_Geometria,Distancia_Centroide_Pin_m,Flag_Geometria_Reparada,Cantidad_Partes_Geometria,Flag_Revision_Manual,Motivo_Revision,Criterio_Inclusion,CRS_Coordenadas,Fuente_Archivo
1823,No informado,No informado,Plaza,PLAZA,No informado,CURAPALIGUE AV - COREA AV - CASTAÑARES AV,Flores,7,NO,475.5857185751966,312.61960981132074,-34.6435724533,-58.4425497491,-34.6433543175,-58.4426288627,Punto representativo interno del componente principal,1,25.26,0,18,1,Plaza sin nombre y menor a 500 m²; confirmar que sea un espacio independiente,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
1825,No informado,No informado,Plaza,PLAZA,No informado,TIMOTEO GORDILLO 5350 entre MADARIAGA y TABARÉ,Villa Riachuelo,8,SI,589.5216337501848,328.8522051204221,-34.6894028999,-58.4675682126,-34.6894040462,-58.4674640639,Punto representativo interno del componente principal,1,9.54,0,6,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
1828,Plaza del Corralón,Pza. del Corralón,Plaza,PLAZA,No informado,No informado,Floresta,10,SI,3053.154268062534,626.4574227428071,-34.6274163424,-58.4884764250,-34.6275452313,-58.4882979905,Punto representativo interno del componente principal,1,21.73,0,1,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
1841,Plaza de Proximidad Aguaribay 6768,Pza. de Proximidad Aguaribay 6768,Plaza,PLAZA,No informado,AGUARIBAY 6768 entre GANA y MADERO,Versalles,10,SI,224.0350479448323,69.32063297150725,-34.6331493749,-58.5265753093,-34.6331493749,-58.5265753093,Centroide geométrico,0,0.00,0,1,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
1842,Parque de la Estación,Pque. de la Estación,Parque,PARQUE,No informado,PERON JUAN DOMINGO - ANCHORENA TOMAS - VÍAS DEL FFCC SARMIENTO - DIAZ VELEZ AV - GALLO,Balvanera,3,SI,4394.166374326971,1131.026954172048,-34.6078386264,-58.4132377507,-34.6078386264,-58.4132377507,Centroide geométrico,0,0.00,0,22,0,No aplica,"Parque según clasificación oficial y superficie >= 1,000 m²",EPSG:4326,espacio_verde_publico.csv
1844,Plaza Manzana 66,Pza. Manzana 66,Plaza,PLAZA,No informado,BELGRANO AV - JUJUY AV - MORENO - CATAMARCA,Balvanera,3,SI,5487.515313803238,406.2107211217832,-34.6141134848,-58.4056930405,-34.6141134848,-58.4056930405,Centroide geométrico,0,0.00,0,2,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
1845,Plaza República del Líbano,Pza. Rep. del Líbano,Plaza,PLAZA,No informado,"DEL LIBERTADOR, Av. - AGOTE, LUIS - REPUBLICA DEL LIBANO - Propiedad particular",Recoleta,2,NO,5276.32864978235,993.7041746637375,-34.5843923881,-58.3945305035,-34.5843724179,-58.3948734959,Punto representativo interno del componente principal,1,31.54,0,7,1,La ubicación menciona propiedad particular; confirmar acceso,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
1846,Plaza Australia,Pza. Australia,Plaza,PLAZA,No informado,"FIGUEROA ALCORTA, PRES., AV. - GONZALEZ, JULIO V. - COUTURE, EDUARDO - Muro desnivel que limita con la Pza Rep Federativa del Brasil",Recoleta,2,NO,814.9799306920064,746.430822841642,-34.5835586447,-58.3911742000,-34.5831345198,-58.3910007941,Punto representativo interno del componente principal,1,49.66,0,10,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
1847,Plaza Jardín de la Recoleta,Pza. Jardín de la Recoleta,Plaza,PLAZA,No informado,Plaza ubicada por encima del Centro de Exposiciones y Convenciones de la Ciudad Autónoma de Buenos Aires,Recoleta,2,NO,9485.423383631713,2676.7439592700093,-34.5833691016,-58.3891907883,-34.5836889464,-58.3890413931,Punto representativo interno del componente principal,1,38.03,0,28,0,No aplica,"Plaza según clasificación oficial, sin conflicto textual",EPSG:4326,espacio_verde_publico.csv
1875,Parque del Bajo,Pque. del Bajo,Parque,PARQUE,No informado,MADERO EDUARDO AV - PERON JUAN DOMINGO TTE - ROSALES AV - ALEM LEANDRO AV - PASEO COLON AV,Puerto Madero,1,NO,11138.628906940648,3045.2897688254493,-34.6061038750,-58.3681152117,-34.6072716993,-58.3681300667,Punto representativo interno del componente principal,1,129.53,0,66,0,No aplica,"Parque según clasificación oficial y superficie >= 1,000 m²",EPSG:4326,espacio_verde_publico.csv
