ID,ID_IDECABA,Tipo_Transporte,Nombre,Linea,Ramal,Direccion,Barrio,Comuna,Localidad,Latitud,Longitud,Flag_Coordenada_Anomala,Flag_Fuera_CABA,Flag_Duplicado
155,167,Tren,Juan Vucetich,Roca,No informado,No informado,No informado,No informado,Pereyra,-34.843854044523304,-58.14557446109784,1,1,0
156,23,Tren,Juan Vucetich,Urquiza,No informado,No informado,No informado,No informado,José C. Paz,-34.507209930534216,-58.7999488664697,1,1,0
157,16,Tren,Juan XXIII,Roca,No informado,No informado,No informado,No informado,Lomas de Zamora,-34.77132189212158,-58.44414675278911,1,1,0
158,132,Tren,Justo Villegas,Belgrano Sur,No informado,No informado,No informado,No informado,Ciudad Evita,-34.7089965079048,-58.551894462651134,1,1,0
159,195,Tren,Kilómetro 12,Belgrano Sur,No informado,No informado,No informado,No informado,Aldo Bonzi,-34.71002084614939,-58.50599867309804,1,1,0
160,244,Tren,Km 34,Roca,No informado,No informado,No informado,No informado,Ingeniero Budge,-34.74373949916018,-58.46480036782784,1,1,0
161,1,Tren,"Km 34,5",Sarmiento,No informado,No informado,No informado,No informado,Merlo,-34.68014032187272,-58.76021031818555,1,1,0
162,115,Tren,La Fraternidad,Sarmiento,No informado,No informado,No informado,No informado,General Rodríguez,-34.59843837524884,-58.997778359725,1,1,0
163,259,Tren,La Lucila,Mitre,No informado,No informado,No informado,No informado,La Lucila,-34.49767969458047,-58.48834803937373,1,1,0
164,222,Tren,La Noria,Roca,No informado,No informado,No informado,No informado,Cañuelas,-35.16523583085291,-58.78812068860606,1,1,0
165,32,Tren,La Plata,Roca,No informado,No informado,No informado,No informado,La Plata,-34.903680641932084,-57.95039490158763,1,1,0
166,181,Tren,La Plata - FCPBA,Roca,No informado,No informado,No informado,No informado,La Plata,-34.940218679575324,-57.938200538620464,1,1,0
167,116,Tren,La Reja,Sarmiento,No informado,No informado,No informado,No informado,La Reja,-34.63978869922353,-58.8283168423995,1,1,0
168,189,Tren,La Tablada,Roca,No informado,No informado,No informado,No informado,La Tablada,-34.693003649982906,-58.52810899773472,0,0,0
169,139,Tren,Laferrere,Belgrano Sur,No informado,No informado,No informado,No informado,Gregorio de Laferrere,-34.75080782750573,-58.58451371429797,1,1,0
170,145,Tren,Lanús,Roca,No informado,No informado,No informado,No informado,Lanús Este,-34.707389335607,-58.39056696297573,0,0,0
171,6,Tren,Las Barrancas,Tren de la Costa,No informado,No informado,No informado,No informado,Acassuso,-34.47238115890088,-58.49309834059667,1,1,0
172,117,Tren,Las Malvinas,Sarmiento,No informado,No informado,No informado,No informado,General Rodríguez,-34.61621160000952,-58.92156810146368,1,1,0
173,118,Tren,Lezica y Torrezuri,Sarmiento,No informado,No informado,No informado,No informado,No informado,-34.58460156677709,-59.05671794127745,1,1,0
174,135,Tren,Libertad,Belgrano Sur,No informado,No informado,No informado,No informado,Libertad,-34.692144102771934,-58.686500019008726,1,1,0
175,197,Tren,Libertador,Tren de la Costa,No informado,No informado,No informado,No informado,Olivos,-34.50159737107447,-58.48186135251807,1,1,0
176,149,Tren,Llavallol,Roca,No informado,No informado,No informado,No informado,Llavallol,-34.797105069988326,-58.42922128522252,1,1,0
177,200,Tren,Lobos,Sarmiento,No informado,No informado,No informado,No informado,No informado,-35.18476325841433,-59.09277155022261,1,1,0
178,9,Tren,Lomas de Zamora,Roca,No informado,No informado,No informado,No informado,Lomas de Zamora,-34.76097756420045,-58.39719262063138,1,1,0
179,243,Tren,Longchamps,Roca,No informado,No informado,No informado,No informado,Longchamps,-34.859334411912776,-58.38727167964141,1,1,0
180,292,Tren,López Camelo,Mitre,No informado,No informado,No informado,No informado,General Pacheco,-34.446921127083336,-58.67736571655547,1,1,0
181,248,Tren,Los Cardales,Mitre,No informado,No informado,No informado,No informado,No informado,-34.33090711336983,-58.98741081934489,1,1,0
182,43,Tren,Los Polvorines,Belgrano Norte,No informado,No informado,No informado,No informado,Los Polvorines,-34.49902676885959,-58.69453144962468,1,1,0
183,89,Tren,Lourdes,Urquiza,No informado,No informado,No informado,No informado,Santos Lugares,-34.59378531032301,-58.54697566320891,1,1,0
184,178,Tren,Luis Guillón,Roca,No informado,No informado,No informado,No informado,Luis Guillón,-34.80328512663782,-58.44857585514457,1,1,0
185,207,Tren,Luján,Sarmiento,No informado,No informado,No informado,No informado,No informado,-34.57769608634658,-59.10509616492056,1,1,0
186,273,Tren,Malaver,Mitre,No informado,No informado,No informado,No informado,General San Martín,-34.55743352238509,-58.54785855428555,1,1,0
187,44,Tren,Manuel Alberti,Belgrano Norte,No informado,No informado,No informado,No informado,Manuel Alberti,-34.4625593071142,-58.77624800130559,1,1,0
188,172,Tren,Manuel B. Gonnet,Roca,No informado,No informado,No informado,No informado,Manuel B. Gonnet,-34.87990843645811,-58.01063688734762,1,1,0
189,64,Tren,Manzanares,San Martín,No informado,No informado,No informado,No informado,Manzanares,-34.45207993867713,-59.0064325864769,1,1,0
190,11,Tren,Manzone,Urquiza,No informado,No informado,No informado,No informado,Villa Astolfi,-34.486118690218326,-58.87530185651132,1,1,0
191,296,Tren,Maquinista Savio,Mitre,No informado,No informado,No informado,No informado,Maquinista Savio,-34.40687113480071,-58.7720226555289,1,1,0
192,212,Tren,Marcos Paz (Belgrano),Belgrano Sur,No informado,No informado,No informado,No informado,Marcos Paz,-34.7865231155745,-58.829671439599224,1,1,0
193,230,Tren,Marcos Paz (Sarmiento),Sarmiento,No informado,No informado,No informado,No informado,Marcos Paz,-34.783242437375335,-58.83669698356406,1,1,0
194,138,Tren,María Eva Duarte,Belgrano Sur,No informado,No informado,No informado,No informado,Gregorio de Laferrere,-34.75615592830822,-58.60086727662504,1,1,0
195,4,Tren,Mariano Acosta,Sarmiento,No informado,No informado,No informado,No informado,Mariano Acosta,-34.724389905688675,-58.79300020267282,1,1,0
196,228,Tren,Marina Nueva,Tren de la Costa,No informado,No informado,No informado,No informado,Victoria,-34.44457189494086,-58.53899838459101,1,1,0
197,123,Tren,Marinos de Fournier,Belgrano Sur,No informado,No informado,No informado,No informado,Villa Madero,-34.69012130342082,-58.50746304328061,0,0,0
198,196,Tren,Marinos del Crucero General Belgrano,Belgrano Sur,No informado,No informado,No informado,No informado,Pontevedra,-34.708796668771,-58.730865581537984,1,1,0
199,90,Tren,Martín Coronado,Urquiza,No informado,No informado,No informado,No informado,Martín Coronado,-34.58899602300308,-58.590541578305256,1,1,0
200,260,Tren,Martínez,Mitre,No informado,No informado,No informado,No informado,Martínez,-34.488317303928895,-58.49680149297001,1,1,0
201,295,Tren,Matheu,Mitre,No informado,No informado,No informado,No informado,Matheu,-34.382859426500744,-58.82965679220166,1,1,0
202,224,Tren,Máximo Paz,Roca,No informado,No informado,No informado,No informado,Cañuelas,-34.93639559781667,-58.620604386470575,1,1,0
203,185,Tren,Merlo,Sarmiento,No informado,No informado,No informado,No informado,Merlo,-34.664386250492235,-58.727748937228334,1,1,0
204,133,Tren,Merlo Gómez,Belgrano Sur,No informado,No informado,No informado,No informado,Castelar,-34.69703326001386,-58.6476064835646,1,1,0
205,274,Tren,Miguelete,Mitre,No informado,No informado,No informado,No informado,General San Martín,-34.5810941387932,-58.517007632920176,0,0,0
206,179,Tren,Monte Grande,Roca,No informado,No informado,No informado,No informado,Monte Grande,-34.814367117051454,-58.46977302737916,1,1,0
207,108,Tren,Moreno,Sarmiento,No informado,No informado,No informado,No informado,Mariano Moreno,-34.65051085559178,-58.78975351283443,1,1,0
208,109,Tren,Morón,Sarmiento,No informado,No informado,No informado,No informado,Morón,-34.64826567540001,-58.61968963454579,1,1,0
209,45,Tren,Munro,Belgrano Norte,No informado,No informado,No informado,No informado,Munro,-34.53171555752562,-58.52376942129638,0,0,0
210,65,Tren,Muñiz,San Martín,No informado,No informado,No informado,No informado,Muñiz,-34.55129612739897,-58.703419054196175,1,1,0
211,262,Tren,Olivos,Mitre,No informado,No informado,No informado,No informado,Olivos,-34.507825626094395,-58.480602292624376,1,1,0
212,46,Tren,Pablo Nogués,Belgrano Norte,No informado,No informado,No informado,No informado,Pablo Nogués,-34.49372264034197,-58.70639238179603,1,1,0
213,91,Tren,Pablo Podestá,Urquiza,No informado,No informado,No informado,No informado,Pablo Podestá,-34.5883511080569,-58.60798664737696,1,1,0
214,47,Tren,Padilla,Belgrano Norte,No informado,No informado,No informado,No informado,Villa Martelli,-34.54340977591915,-58.50076270664791,0,0,0
215,202,Tren,Parada Arquitectura,Roca,No informado,No informado,No informado,No informado,La Plata,-34.90471581012134,-57.94251736298898,1,1,0
216,205,Tren,Parada Diagonal 73,Roca,No informado,No informado,No informado,No informado,La Plata,-34.92010173014934,-57.91917038298201,1,1,0
217,203,Tren,Parada Informática,Roca,No informado,No informado,No informado,No informado,La Plata,-34.90324000946101,-57.936032877259635,1,1,0
218,7,Tren,Parada Medicina,Roca,No informado,No informado,No informado,No informado,La Plata,-34.90900200910375,-57.927893821630285,1,1,0
219,8,Tren,Parada Periodismo,Roca,No informado,No informado,No informado,No informado,La Plata,-34.91216125406347,-57.924305849557,1,1,0
220,204,Tren,Parada Policlínico / 1 y 72,Roca,No informado,No informado,No informado,No informado,Villa Elvira,-34.92527822247752,-57.92120575599068,1,1,0
221,110,Tren,Paso del Rey,Sarmiento,No informado,No informado,No informado,No informado,Paso del Rey,-34.65823606186504,-58.76209908834553,1,1,0
222,214,Tren,Pavón,Urquiza,No informado,No informado,No informado,No informado,No informado,-34.380490118741356,-59.04004393170016,1,1,0
223,186,Tren,Pereyra,Roca,No informado,No informado,No informado,No informado,Pereyra,-34.836569368871736,-58.0946450199778,1,1,0
224,67,Tren,Pilar (San Martín),San Martín,No informado,No informado,No informado,No informado,Pilar,-34.46866149385122,-58.90821544071775,1,1,0
225,201,Tren,Pilar (Urquiza),Urquiza,No informado,No informado,No informado,No informado,Pilar,-34.46454548861323,-58.91657748345336,1,1,0
226,5,Tren,Piñero,Urquiza,No informado,No informado,No informado,No informado,José C. Paz,-34.51532269878219,-58.77066073779202,1,1,0
227,173,Tren,Plátanos,Roca,No informado,No informado,No informado,No informado,Plátanos,-34.782313552246194,-58.170828121461525,1,1,0
228,68,Tren,Presidente Derqui,San Martín,No informado,No informado,No informado,No informado,Presidente Derqui,-34.490994938693746,-58.83845025443712,1,1,0
229,143,Tren,Puente Alsina,Belgrano Sur,No informado,No informado,No informado,No informado,Valentín Alsina,-34.66113530213243,-58.41563745381099,0,0,0
230,182,Tren,Punta Chica,Tren de la Costa,No informado,No informado,No informado,No informado,Beccar,-34.45050524283761,-58.52384768491807,1,1,0
231,140,Tren,Querandí,Belgrano Sur,No informado,No informado,No informado,No informado,Ciudad Evita,-34.72235677559538,-58.530653710065906,1,1,0
232,161,Tren,Quilmes,Roca,No informado,No informado,No informado,No informado,Quilmes,-34.72480576780309,-58.2605721534603,1,1,0
233,156,Tren,Rafael Calzada,Roca,No informado,No informado,No informado,No informado,Rafael Calzada,-34.79669596446354,-58.359113629002906,1,1,0
234,134,Tren,Rafael Castillo,Belgrano Sur,No informado,No informado,No informado,No informado,Rafael Castillo,-34.699699169316574,-58.62631413891518,1,1,0
235,105,Tren,Ramos Mejía,Sarmiento,No informado,No informado,No informado,No informado,Ramos Mejia,-34.64048082805645,-58.56425150591835,1,1,0
236,13,Tren,Ranelagh,Roca,No informado,No informado,No informado,No informado,Ranelagh,-34.7893663334492,-58.2032297480227,1,1,0
237,146,Tren,Remedios de Escalada,Roca,No informado,No informado,No informado,No informado,Remedios de Escalada,-34.72705665369981,-58.39360401078491,1,1,0
238,174,Tren,Ringuelet,Roca,No informado,No informado,No informado,No informado,Manuel B. Gonnet,-34.8815479443354,-57.99647581871378,1,1,0
239,255,Tren,Río Luján,Mitre,No informado,No informado,No informado,No informado,No informado,-34.27810739924278,-58.89022929199469,1,1,0
240,93,Tren,Rubén Darío,Urquiza,No informado,No informado,No informado,No informado,Hurlingham,-34.58754125174666,-58.62984433370274,1,1,0
241,26,Tren,Rufino de Elizalde,Roca,No informado,No informado,No informado,No informado,Altos de San Lorenzo,-34.957464226029714,-57.943912603515884,1,1,0
