ID,Tipo_Transporte,Nombre,Corredor,Lineas,Lineas_Sentido,Direccion,Barrio,Comuna,Latitud,Longitud,Flag_Coordenada_Anomala,Flag_Duplicado
METROBUS_000306,Metrobus,SUCRE,No informado,184|168|67|63,184:I|168:I|67:I|63:V,CABILDO AV. 1971,BELGRANO,Comuna 13,-34.5632014,-58.4555204,0,0
METROBUS_000307,Metrobus,SUCRE,No informado,68|161,68:No informado|161:No informado,CABILDO AV. 1937,BELGRANO,Comuna 13,-34.56356,-58.45524,0,0
METROBUS_000308,Metrobus,LA PAMPA,No informado,80|168|184,80:I|168:V|184:V,CABILDO AV. 1850,BELGRANO,Comuna 13,-34.5642664,-58.4549589,0,0
METROBUS_000309,Metrobus,VIRREY DEL PINO,No informado,57|194,57:V|194:V,1616 CABILDO AV.,BELGRANO,Comuna 13,-34.5659335,-58.4528504,0,0
METROBUS_000310,Metrobus,LAVALLE,No informado,195,195:I,"Alem, Leandro N. Av. 550",SAN NICOLAS,Comuna 1,-34.60115,-58.3705125,0,0
METROBUS_000311,Metrobus,BESARES,No informado,161|68,161:I|68:I,CABILDO AV. 4125,NUÑEZ,Comuna 13,-34.545645,-58.470688,0,0
METROBUS_000312,Metrobus,AV. INDEPENDENCIA,No informado,152,152:I,728 PASEO COLON AV.,SAN TELMO,Comuna 1,-34.6160662,-58.3689749,0,0
METROBUS_000313,Metrobus,AV. LOPE DE VEGA,No informado,166|34,166:V|34:V,JUAN B. JUSTO AV. 8060,VILLA LURO,Comuna 10,-34.6324567,-58.5015198,0,0
METROBUS_000314,Metrobus,AV. LOPE DE VEGA,No informado,99|172,99:V|172:I,"79318 JUSTO, JUAN B. AV.",VELEZ SARFIELD,Comuna 10,-34.6319984,-58.5006301,0,0
METROBUS_000315,Metrobus,GARRAHAN,No informado,6|97,6:V|97:No informado,BRASIL 2204,PARQUE PATRICIOS,Comuna 4,-34.630281,-58.3956603,0,0
METROBUS_000316,Metrobus,PAPPO NAPOLITANO,No informado,24|57|105,24:I|57:V|105:V,2222 SAN MARTIN AV.,VILLA GRAL MITRE,Comuna 11,-34.604281,-58.4596389,0,0
METROBUS_000317,Metrobus,CONSTITUCION,No informado,60,60:No informado,JUAN DE GARAY AV. 1120,CONSTITUCION,Comuna 1,-34.6264302,-58.3806478,0,0
METROBUS_000318,Metrobus,AV. CORDOBA,No informado,166|34,166:I|34:V,"JUSTO, JUAN B. AV. 1953",VILLA CRESPO,Comuna 15,-34.58959471,-58.4386626,0,0
METROBUS_000319,Metrobus,AV. CORDOBA,No informado,166|34,166:V|34:V,"JUSTO, JUAN B. AV. 1824",PALERMO,Comuna 14,-34.5881753,-58.4378938,0,0
METROBUS_000320,Metrobus,JORGE NEWBERY,No informado,60|161,60:No informado|161:I,449 CABILDO AV.,PALERMO,Comuna 14,-34.571746,-58.441161,0,0
METROBUS_000321,Metrobus,ESTADOS UNIDOS,No informado,59|126,59:V|126:V,"970 IRIGOYEN, BERNARDO DE",CONSTITUCION,Comuna 1,-34.6188088,-58.3807948,0,0
METROBUS_000322,Metrobus,MEXICO,No informado,67|98|28,67:V|98:No informado|28:No informado,"664 IRIGOYEN, BERNARDO DE",MONSERRAT,Comuna 1,-34.6159881,-58.3809127,0,0
METROBUS_000323,Metrobus,VENEZUELA,No informado,59|126,59:V|126:V,"580 IRIGOYEN, BERNARDO DE",MONSERRAT,Comuna 1,-34.61449,-58.3808917,0,0
METROBUS_000324,Metrobus,YRIGOYEN,No informado,67|98|28,67:V|98:No informado|28:No informado,"172 IRIGOYEN, BERNARDO DE",MONSERRAT,Comuna 1,-34.60994,-58.3811099,0,0
METROBUS_000325,Metrobus,YRIGOYEN,No informado,67|28,67:I|28:No informado,152 LIMA,MONSERRAT,Comuna 1,-34.6104803,-58.3813248,0,0
METROBUS_000326,Metrobus,VENEZUELA,No informado,59,59:No informado,572 LIMA,MONSERRAT,Comuna 1,-34.6149718,-58.3811351,0,0
METROBUS_000327,Metrobus,MEXICO,No informado,67|28,67:No informado|28:No informado,628 LIMA,MONSERRAT,Comuna 1,-34.6160023,-58.3810865,0,0
METROBUS_000328,Metrobus,ESTADOS UNIDOS,No informado,59,59:No informado,948 LIMA,CONSTITUCION,Comuna 1,-34.61945,-58.3809584,0,0
METROBUS_000329,Metrobus,CHILE,No informado,33|143|129,33:V|143:V|129:V,630 PASEO COLON AV.,SAN TELMO,Comuna 1,-34.6154855,-58.3690585,0,0
METROBUS_000330,Metrobus,CHILE,No informado,64|130|22,64:I|130:I|22:V,610 PASEO COLON AVE,MONSERRAT,Comuna 1,-34.6150389,-58.3691053,0,0
METROBUS_000331,Metrobus,MEXICO,No informado,74|93|24|126,74:V|93:V|24:V|126:V,584 PASEO COLON AVE,MONSERRAT,Comuna 1,-34.6143446,-58.3691248,0,0
